"Comment","Designator","Footprint","LCSC","DNP"
"CPT-9019A-SMT-TR","BZ1","sldrnrd:CPT-9019A","C20181991",""
"1u","C1,C4,C15,C22","sldrnrd:C_0805","C28323",""
"100n","C2,C5,C6,C10,C12,C18,C19,C21,C23,C24,C29,C32,C33,C34,C36,C38,C40,C41,C42,C43,C44,C45,C46,C48,C50,C51,C52,C53,C54,C59,C62,C65,C67,C68","sldrnrd:C_0603","C14663",""
"10u","C3,C7,C8,C9,C11,C13,C16,C17,C20,C47","sldrnrd:C_1206","C70462",""
"2u2","C14,C35","sldrnrd:C_0805","C126589",""
"15p","C25,C26","sldrnrd:C_0603","C1644",""
"33p","C27,C28","sldrnrd:C_0603","C1663",""
"10n","C30,C31,C37,C39,C49","sldrnrd:C_0603","C57112",""
"1n","C55,C56,C57,C58,C60","sldrnrd:C_0603","C1588",""
"100p","C61","sldrnrd:C_0603","C14858",""
"1u","C63,C64","sldrnrd:C_0603","C29936",""
"220n","C66","sldrnrd:C_0603","C21120",""
"LED_Red_0603","D1","sldrnrd:LED_0603","C2286",""
"LED_Green_0603","D2,D3","sldrnrd:LED_0603","C72043",""
"LED_Yellow_0603","D4","sldrnrd:LED_0603","C2287",""
"LS027B7DH01","DS1","sldrnrd:Display_LS027B7DH01","Display: C17492463, Connector: C262557",""
"JST_PH_2.0mm_1x02","J1","sldrnrd:JST_PH_2.0mm_1x02","C131337",""
"USB_C","J2","sldrnrd:USB_C","C165948",""
"Header_50mil_2x07","J3","sldrnrd:Header_50mil_2x07","C5563894",""
"JST_PH_2.0mm_1x03","J4","sldrnrd:JST_PH_2.0mm_1x03","C131339",""
"Header_100mil_1x06","J5,J6","sldrnrd:Header_100mil_1x06","C225481",""
"DMG2305UX-13","Q1,Q2","sldrnrd:SOT-23-3","C144153",""
"FS8205A","Q3","sldrnrd:SOT-23-6","C2830320",""
"AO3400A","Q4,Q5","sldrnrd:SOT-23-3","C20917",""
"100k","R1,R10,R30,R33","sldrnrd:R_0603","C25803",""
"1k","R2,R6,R7,R12,R13","sldrnrd:R_0603","C21190",""
"470R","R3","sldrnrd:R_0603","C23179",""
"2k","R4,R28,R35","sldrnrd:R_0603","C22975",""
"33k","R5,R11,R14,R15,R16,R17,R18,R19,R22,R23,R24,R25,R26,R27,R34,R42,R43,R44,R45","sldrnrd:R_0603","C4216",""
"180k","R8","sldrnrd:R_0603","C22827",""
"68k","R9,R32,R52","sldrnrd:R_0603","C23231",""
"5k1","R20,R21,R29,R31","sldrnrd:R_0603","C23186",""
"10k","R36,R37,R38,R39,R40,R41,R50,R55,R56","sldrnrd:R_0603","C25804",""
"6k8","R46,R47,R48,R49,R51","sldrnrd:R_0603","C23212",""
"100k","R53","sldrnrd:R_0805","C149504",""
"10k","R54","sldrnrd:R_0805","C17414",""
"PEC11R-4215F-S0024","SW1,SW2","sldrnrd:RotaryEncoder_PEC11R","C143790",""
"LP5907MFX-3.3/NOPB","U1,U3","sldrnrd:SOT-23-5","C80670",""
"DW01A","U2","sldrnrd:SOT-23-6","C351410",""
"TP4056","U4","sldrnrd:ESOP-8","C382139",""
"SD6210A","U5","sldrnrd:SOT-23-6","C250809",""
"LM27761DSGR","U6","sldrnrd:WSON-8-2x2-EP","C129351",""
"STM32G0B1RET6","U7","sldrnrd:LQFP-64","C2829307",""
"RN4871-I/RM128","U8","sldrnrd:RN4871","C633941",""
"SN74AHCT244DBR","U9","sldrnrd:SSOP-20","C2868870",""
"24LC256-I/ST","U10","sldrnrd:TSSOP-8","C87823",""
"BME280","U11","sldrnrd:LGA-8_2.5x2.5mm_P0.65mm","C92489",""
"SN74HC14PWR","U12","sldrnrd:TSSOP-14","C6821",""
"LM35","U13","sldrnrd:SOT-23-3","C9900081740",""
"AD9833BRMZ-REEL7","U14","sldrnrd:MSOP-10","C9652",""
"ADS131M04IPWR","U15","sldrnrd:TSSOP-20","C2862562",""
"AD826","U16","sldrnrd:SOIC-8","C114171",""
"Q13FC1350000400","Y1","sldrnrd:CRYSTAL-3215","C32346",""
"X50328MSB2GI","Y2","sldrnrd:CRYSTAL-3225","C115962",""
