Designator,Mid X,Mid Y,Layer,Rotation
DS1,95.0000mm,-95.0000mm,Bottom,180
SW1,118.0000mm,-46.5000mm,Bottom,90
SW2,72.0000mm,-46.5000mm,Bottom,270
BZ1,84.2000mm,-92.2500mm,Top,270
C1,117.1875mm,-73.6000mm,Top,0
C2,117.4000mm,-67.4000mm,Top,0
C3,117.4000mm,-65.6000mm,Top,0
C4,124.3500mm,-59.9000mm,Top,90
C5,132.1700mm,-69.2000mm,Top,0
C6,118.4000mm,-59.4000mm,Top,90
C7,116.6000mm,-59.2000mm,Top,90
C8,105.6000mm,-95.7500mm,Top,0
C9,74.2000mm,-97.0000mm,Top,90
C10,105.6000mm,-93.7500mm,Top,0
C11,73.4000mm,-88.4000mm,Top,0
C12,103.5500mm,-91.5000mm,Top,270
C13,101.6000mm,-91.5000mm,Top,270
C14,105.8000mm,-87.8000mm,Top,0
C15,115.6000mm,-84.0000mm,Top,270
C16,109.4000mm,-84.8000mm,Top,180
C17,109.4000mm,-82.6000mm,Top,180
C18,112.8000mm,-82.4000mm,Top,0
C19,86.2500mm,-70.0000mm,Top,180
C20,109.8000mm,-87.8000mm,Top,270
C21,112.4000mm,-86.8000mm,Top,0
C22,106.6000mm,-62.8750mm,Top,90
C23,104.7614mm,-62.8750mm,Top,90
C24,103.2614mm,-62.8750mm,Top,90
C25,107.9000mm,-69.8000mm,Top,90
C26,107.9000mm,-66.5500mm,Top,270
C27,112.5500mm,-61.2250mm,Top,90
C28,112.5500mm,-57.9500mm,Top,270
C29,114.8000mm,-95.4000mm,Top,90
C30,103.0000mm,-48.3000mm,Top,270
C31,103.0000mm,-44.9750mm,Top,270
C32,123.4000mm,-78.8000mm,Top,90
C33,88.7500mm,-85.7500mm,Top,90
C34,103.0000mm,-51.5500mm,Top,270
C35,92.7500mm,-89.0000mm,Top,180
C36,93.0000mm,-91.0000mm,Top,180
C37,87.0000mm,-45.0500mm,Top,270
C38,94.5000mm,-95.7500mm,Top,180
C39,87.0000mm,-48.3000mm,Top,270
C40,132.4000mm,-88.7250mm,Top,180
C41,87.0000mm,-51.5500mm,Top,270
C42,77.4750mm,-70.0000mm,Top,180
C43,91.2500mm,-50.3000mm,Top,180
C44,60.5000mm,-60.2500mm,Top,270
C45,61.0000mm,-83.5000mm,Top,270
C46,65.7500mm,-96.5000mm,Top,90
C47,135.0000mm,-58.4000mm,Top,270
C48,132.1000mm,-62.7000mm,Top,0
C49,129.4000mm,-60.6000mm,Top,270
C50,132.8000mm,-64.2000mm,Top,0
C51,81.8000mm,-38.0000mm,Top,0
C52,109.9000mm,-38.6000mm,Top,180
C53,81.8000mm,-34.6000mm,Top,0
C54,109.9000mm,-35.4000mm,Top,180
C55,89.0000mm,-38.8000mm,Top,270
C56,102.7000mm,-39.4000mm,Top,270
C57,89.0000mm,-35.4000mm,Top,270
C58,102.7000mm,-36.2000mm,Top,270
C59,128.6000mm,-57.0000mm,Top,180
C60,131.8000mm,-52.6000mm,Top,0
C61,131.8000mm,-51.0000mm,Top,0
C62,100.0000mm,-35.8000mm,Top,270
C63,101.0000mm,-32.6000mm,Top,0
C64,100.2000mm,-39.0000mm,Top,90
C65,98.6000mm,-42.2000mm,Top,270
C66,97.0000mm,-42.2000mm,Top,270
C67,135.6000mm,-45.6000mm,Top,90
C68,128.4000mm,-41.8000mm,Top,270
C69,102.4000mm,-54.2000mm,Top,0
C70,102.4000mm,-56.2000mm,Top,0
C71,85.4000mm,-62.4000mm,Top,0
C72,86.0000mm,-67.0000mm,Top,270
C73,137.4000mm,-45.8000mm,Top,90
C74,126.6000mm,-42.0000mm,Top,270
D1,69.5000mm,-82.6000mm,Top,90
D2,71.2000mm,-82.6000mm,Top,90
D3,78.0000mm,-58.2500mm,Top,0
D4,78.0000mm,-60.2500mm,Top,0
D5,71.4000mm,-46.2000mm,Top,180
D6,74.8000mm,-46.2000mm,Top,180
D7,71.4000mm,-44.0000mm,Top,0
D8,74.8000mm,-44.0000mm,Top,0
D9,118.4000mm,-45.6000mm,Top,0
D10,121.8000mm,-45.6000mm,Top,0
D11,118.4000mm,-43.6000mm,Top,180
D12,121.8000mm,-43.6000mm,Top,180
J1,137.3500mm,-74.6500mm,Top,90
J2,54.0000mm,-64.0000mm,Top,270
J3,56.5300mm,-80.2500mm,Top,270
J4,61.6500mm,-95.2000mm,Top,270
J5,68.3500mm,-33.0500mm,Top,0
J6,121.6500mm,-33.0700mm,Top,180
J7,130.0000mm,-82.2000mm,Top,180
J8,119.6000mm,-85.0000mm,Top,270
J9,126.2000mm,-63.4000mm,Top,0
J10,86.4000mm,-41.8000mm,Top,0
J11,82.8000mm,-85.0000mm,Top,0
Q1,135.6000mm,-69.4000mm,Top,180
Q2,112.2000mm,-66.2500mm,Top,270
Q3,123.6000mm,-69.9000mm,Top,90
Q4,77.8000mm,-90.4000mm,Top,90
Q5,82.5000mm,-70.7500mm,Top,180
R1,135.2250mm,-67.0000mm,Top,180
R2,126.1400mm,-73.2100mm,Top,180
R3,129.9000mm,-70.2500mm,Top,270
R4,69.2500mm,-97.6750mm,Top,0
R5,77.1000mm,-94.6750mm,Top,90
