Ref,Val,Package,PosX,PosY,Rot,Side
"DS1","LS027B7DH01","Display_LS027B7DH01",95.000000,-95.000000,180.000000,bottom
"SW1","PEC11R-4215F-S0024","RotaryEncoder_PEC11R",118.000000,-46.500000,90.000000,bottom
"SW2","PEC11R-4215F-S0024","RotaryEncoder_PEC11R",72.000000,-46.500000,-90.000000,bottom
"BZ1","CPT-9019A-SMT-TR","CPT-9019A",84.200000,-92.250000,-90.000000,top
"C1","1u","C_0805",117.187500,-73.600000,0.000000,top
"C2","100n","C_0603",117.500000,-64.750000,0.000000,top
"C3","10u","C_1206",117.000000,-66.750000,0.000000,top
"C4","1u","C_0805",124.350000,-59.900000,90.000000,top
"C5","100n","C_0603",132.170000,-69.200000,0.000000,top
"C6","100n","C_0603",116.100000,-59.400000,90.000000,top
"C7","10u","C_1206",118.100000,-59.400000,90.000000,top
"C8","10u","C_1206",105.600000,-95.750000,0.000000,top
"C9","10u","C_1206",74.800000,-96.200000,90.000000,top
"C10","100n","C_0603",105.600000,-93.750000,0.000000,top
"C11","10u","C_1206",74.800000,-90.000000,-90.000000,top
"C12","100n","C_0603",103.550000,-91.500000,-90.000000,top
"C13","10u","C_1206",101.600000,-91.500000,-90.000000,top
"C14","2u2","C_0805",105.800000,-87.000000,0.000000,top
"C15","1u","C_0805",115.600000,-84.000000,-90.000000,top
"C16","10u","C_1206",108.200000,-84.400000,180.000000,top
"C17","10u","C_1206",108.200000,-82.200000,180.000000,top
"C18","100n","C_0603",112.800000,-82.400000,0.000000,top
"C19","100n","C_0603",86.250000,-70.000000,180.000000,top
"C20","10u","C_1206",109.800000,-89.000000,-90.000000,top
"C21","100n","C_0603",112.400000,-86.800000,0.000000,top
"C22","1u","C_0805",106.600000,-62.875000,90.000000,top
"C23","100n","C_0603",104.761396,-62.875000,90.000000,top
"C24","100n","C_0603",103.261396,-62.875000,90.000000,top
"C25","15p","C_0603",107.900000,-69.800000,90.000000,top
"C26","15p","C_0603",107.900000,-66.550000,-90.000000,top
"C27","33p","C_0603",112.550000,-61.225000,90.000000,top
"C28","33p","C_0603",112.550000,-57.950000,-90.000000,top
"C29","100n","C_0603",114.500000,-95.500000,90.000000,top
"C30","10n","C_0603",103.000000,-48.300000,-90.000000,top
"C31","10n","C_0603",103.000000,-44.975000,-90.000000,top
"C32","100n","C_0603",128.750000,-82.250000,180.000000,top
"C33","100n","C_0603",88.750000,-85.750000,90.000000,top
"C34","100n","C_0603",103.000000,-51.550000,-90.000000,top
"C35","2u2","C_0805",92.750000,-89.000000,180.000000,top
"C36","100n","C_0603",93.000000,-91.000000,180.000000,top
"C37","10n","C_0603",87.000000,-45.050000,-90.000000,top
"C38","100n","C_0603",94.500000,-95.750000,180.000000,top
"C39","10n","C_0603",87.000000,-48.300000,-90.000000,top
"C40","100n","C_0603",132.725000,-88.725000,180.000000,top
"C41","100n","C_0603",87.000000,-51.550000,-90.000000,top
"C42","100n","C_0603",77.475000,-70.000000,180.000000,top
"C43","100n","C_0603",91.250000,-50.300000,180.000000,top
"C44","100n","C_0603",60.500000,-60.250000,-90.000000,top
"C45","100n","C_0603",60.250000,-83.500000,-90.000000,top
"C46","100n","C_0603",65.750000,-96.500000,90.000000,top
"C47","10u","C_1206",135.000000,-55.600000,90.000000,top
"C48","100n","C_0603",132.100000,-62.700000,0.000000,top
"C49","10n","C_0603",129.400000,-60.600000,-90.000000,top
"C50","100n","C_0603",132.800000,-64.200000,0.000000,top
"C51","100n","C_0603",81.800000,-38.000000,0.000000,top
"C52","100n","C_0603",109.900000,-38.600000,180.000000,top
"C53","100n","C_0603",81.800000,-34.600000,0.000000,top
"C54","100n","C_0603",109.900000,-35.400000,180.000000,top
"C55","1n","C_0603",89.000000,-38.800000,-90.000000,top
"C56","1n","C_0603",102.700000,-39.400000,-90.000000,top
"C57","1n","C_0603",89.000000,-35.400000,-90.000000,top
"C58","1n","C_0603",102.700000,-36.200000,-90.000000,top
"C59","100n","C_0603",128.600000,-57.000000,180.000000,top
"C60","1n","C_0603",131.800000,-52.600000,0.000000,top
"C61","100p","C_0603",131.800000,-51.000000,0.000000,top
"C62","100n","C_0603",100.000000,-35.800000,-90.000000,top
"C63","1u","C_0603",100.000000,-32.800000,90.000000,top
"C64","1u","C_0603",100.000000,-38.900000,90.000000,top
"C65","100n","C_0603",98.600000,-42.200000,-90.000000,top
"C66","220n","C_0603",97.000000,-42.200000,-90.000000,top
"C67","100n","C_0603",135.600000,-45.600000,90.000000,top
"C68","100n","C_0603",128.400000,-41.800000,-90.000000,top
"D1","LED_Red_0603","LED_0603",69.500000,-82.500000,-90.000000,top
"D2","LED_Green_0603","LED_0603",71.250000,-82.500000,-90.000000,top
"D3","LED_Green_0603","LED_0603",78.000000,-58.250000,180.000000,top
"D4","LED_Yellow_0603","LED_0603",78.000000,-60.250000,180.000000,top
"J1","JST_PH_2.0mm_1x02","JST_PH_2.0mm_1x02",137.350000,-74.650000,90.000000,top
"J2","USB_C","USB_C",54.000000,-64.000000,-90.000000,top
"J3","Header_50mil_2x07","Header_50mil_2x07",55.780000,-80.250000,-90.000000,top
"J4","JST_PH_2.0mm_1x03","JST_PH_2.0mm_1x03",61.700000,-95.250000,-90.000000,top
"J5","Header_100mil_1x06","Header_100mil_1x06",68.350000,-33.050000,0.000000,top
"J6","Header_100mil_1x06","Header_100mil_1x06",121.650000,-33.070000,180.000000,top
"Q1","DMG2305UX-13","SOT-23-3",135.600000,-69.400000,180.000000,top
"Q2","DMG2305UX-13","SOT-23-3",112.200000,-66.250000,-90.000000,top
"Q3","FS8205A","SOT-23-6",123.600000,-69.900000,-90.000000,top
"Q4","AO3400A","SOT-23-3",77.800000,-90.400000,90.000000,top
"Q5","AO3400A","SOT-23-3",82.500000,-70.750000,180.000000,top
"R1","100k","R_0603",135.225000,-67.000000,180.000000,top
"R2","1k","R_0603",126.140000,-73.210000,180.000000,top
"R3","470R","R_0603",129.900000,-70.250000,-90.000000,top
"R4","2k","R_0603",69.250000,-97.675000,0.000000,top
"R5","33k","R_0603",77.100000,-94.675000,90.000000,top
"R6","1k","R_0603",69.500000,-85.750000,-90.000000,top
"R7","1k","R_0603",71.250000,-85.750000,-90.000000,top
"R8","180k","R_0603",112.400000,-88.400000,0.000000,top
"R9","68k","R_0603",112.400000,-90.000000,180.000000,top
"R10","100k","R_0603",86.250000,-73.250000,0.000000,top
"R11","33k","R_0603",86.250000,-71.750000,180.000000,top
"R12","1k","R_0603",81.250000,-58.250000,180.000000,top
"R13","1k","R_0603",81.250000,-60.250000,180.000000,top
"R14","33k","R_0603",104.750000,-48.300000,-90.000000,top
"R15","33k","R_0603",104.750000,-44.975000,-90.000000,top
"R16","33k","R_0603",106.500000,-44.975000,-90.000000,top
"R17","33k","R_0603",106.500000,-48.300000,-90.000000,top
"R18","33k","R_0603",106.500000,-51.550000,-90.000000,top
"R19","33k","R_0603",104.750000,-51.550000,90.000000,top
"R20","5k1","R_0603",127.750000,-77.990000,-90.000000,top
"R21","5k1","R_0603",126.000000,-78.740000,-90.000000,top
"R22","33k","R_0603",85.250000,-45.050000,-90.000000,top
"R23","33k","R_0603",85.250000,-48.300000,-90.000000,top
"R24","33k","R_0603",83.500000,-48.300000,-90.000000,top
"R25","33k","R_0603",83.500000,-45.050000,-90.000000,top
"R26","33k","R_0603",83.500000,-51.550000,-90.000000,top
"R27","33k","R_0603",85.250000,-51.550000,90.000000,top
"R28","2k","R_0603",80.975000,-66.250000,180.000000,top
"R29","5k1","R_0603",59.500000,-62.750000,0.000000,top
"R30","100k","R_0603",58.750000,-60.250000,-90.000000,top
"R31","5k1","R_0603",59.500000,-65.750000,0.000000,top
"R32","68k","R_0603",55.675000,-88.250000,0.000000,top
"R33","100k","R_0603",55.675000,-86.500000,180.000000,top
"R34","33k","R_0603",62.000000,-83.500000,90.000000,top
"R35","2k","R_0603",73.750000,-67.750000,-90.000000,top
"R36","10k","R_0603",79.400000,-32.200000,-90.000000,top
"R37","10k","R_0603",112.300000,-33.000000,-90.000000,top
"R38","10k","R_0603",79.400000,-35.400000,90.000000,top
"R39","10k","R_0603",112.300000,-36.200000,90.000000,top
"R40","10k","R_0603",77.800000,-35.400000,-90.000000,top
"R41","10k","R_0603",113.900000,-36.600000,-90.000000,top
"R42","33k","R_0603",84.200000,-38.800000,-90.000000,top
"R43","33k","R_0603",107.500000,-39.400000,-90.000000,top
"R44","33k","R_0603",84.200000,-35.400000,-90.000000,top
"R45","33k","R_0603",107.500000,-36.200000,-90.000000,top
"R46","6k8","R_0603",86.600000,-38.000000,0.000000,top
"R47","6k8","R_0603",105.100000,-38.600000,180.000000,top
"R48","6k8","R_0603",86.600000,-34.600000,0.000000,top
"R49","6k8","R_0603",105.100000,-35.400000,180.000000,top
"R50","10k","R_0603",131.800000,-54.200000,0.000000,top
"R51","6k8","R_0603",129.400000,-54.600000,90.000000,top
"R52","68k","R_0603",129.400000,-51.600000,90.000000,top
"R53","100k","R_0805",130.800000,-48.200000,0.000000,top
"R54","10k","R_0805",135.800000,-42.200000,90.000000,top
"R55","10k","R_0603",128.400000,-45.000000,90.000000,top
"R56","10k","R_0603",132.000000,-38.800000,180.000000,top
"U1","LP5907MFX-3.3/NOPB","SOT-23-5",117.500000,-70.250000,-90.000000,top
"U2","DW01A","SOT-23-6",127.100000,-70.100000,90.000000,top
"U3","LP5907MFX-3.3/NOPB","SOT-23-5",121.350000,-59.400000,0.000000,top
"U4","TP4056","ESOP-8",70.500000,-92.925000,0.000000,top
"U5","SD6210A","SOT-23-6",105.800000,-90.800000,90.000000,top
"U6","LM27761DSGR","WSON-8-2x2-EP",112.800000,-84.600000,-90.000000,top
"U7","STM32G0B1RET6","LQFP-64",95.000000,-62.500000,180.000000,top
"U8","RN4871-I/RM128","RN4871",121.000000,-95.516250,180.000000,top
"U9","SN74AHCT244DBR","SSOP-20",95.000000,-83.500000,90.000000,top
"U10","24LC256-I/ST","TSSOP-8",132.750000,-80.000000,90.000000,top
"U11","BME280","LGA-8_2.5x2.5mm_P0.65mm",132.750000,-86.250000,90.000000,top
"U12","SN74HC14PWR","TSSOP-14",95.000000,-47.050000,90.000000,top
"U13","LM35","SOT-23-3",77.000000,-67.250000,0.000000,top
"U14","AD9833BRMZ-REEL7","MSOP-10",132.100000,-58.700000,0.000000,top
"U15","ADS131M04IPWR","TSSOP-20",95.200000,-36.400000,180.000000,top
"U16","AD826","SOIC-8",132.000000,-43.400000,0.000000,top
"Y1","Q13FC1350000400","CRYSTAL-3215",105.900000,-68.150000,-90.000000,top
"Y2","X50328MSB2GI","CRYSTAL-3225",109.550000,-59.450000,-90.000000,top
